Date,open,high,low,close,volume
1660984200,0.0703,0.0703,0.070106,0.070106,96129.73255221
1660986000,0.0701975,0.0704013,0.0700853,0.0703296,186082.02535066
1660987800,0.0702195,0.0704784,0.0702195,0.0704779,1371.0
1660989600,0.0703917,0.0703917,0.0701105,0.07015,26026.22788716
1660991400,0.0701111,0.0703344,0.0697896,0.0703344,20448.12307744
1660993200,0.0701572,0.0702632,0.0700566,0.0702394,16632.92772122
1660995000,0.0702463,0.070247,0.0700265,0.0700501,65268.11552753
1660996800,0.0699357,0.0701574,0.0696913,0.0701574,60309.9498214
1660998600,0.0701395,0.0704302,0.07,0.07,93963.56092001
1661000400,0.070003,0.070012,0.0697754,0.0699795,66645.65088781
1661002200,0.0700005,0.0700994,0.0698509,0.0700994,45198.679594
1661004000,0.0702344,0.0702938,0.069981,0.069981,180790.44700793
1661005800,0.0698,0.0698025,0.0695247,0.0697483,31499.606371219998
1661007600,0.0696,0.0696,0.0690277,0.0690277,71533.90542188
1661009400,0.0690514,0.0696179,0.0690514,0.0696179,15191.889666000001
1661011200,0.0695358,0.0696754,0.0694582,0.0696754,34099.48983762
1661013000,0.0693566,0.0693891,0.0689566,0.0689577,12047.26936207
1661014800,0.068909,0.068966,0.0682834,0.0686594,695184.79631371
1661016600,0.0687629,0.0689283,0.0686391,0.0687103,77635.98169295
1661018400,0.0687191,0.0690863,0.0686777,0.0686896,49963.3360529
1661020200,0.0686444,0.0690575,0.068,0.0680996,23596.64796102
1661022000,0.0679725,0.0684345,0.067682,0.0681613,508699.9600967
1661023800,0.0679514,0.0687634,0.0677865,0.0686689,159017.38048794
1661025600,0.0685738,0.0695,0.0685738,0.0695,121694.05637196
1661027400,0.06935,0.0696798,0.0682172,0.0682172,335440.20825483
1661029200,0.0683453,0.069785,0.0681911,0.0696818,676725.96402893
1661031000,0.0696939,0.0702893,0.0696939,0.0697646,227293.7648977
1661032800,0.0699576,0.0700319,0.0693988,0.0694058,60072.81222634
1661034600,0.0693412,0.0696091,0.0692145,0.0695876,66903.28171116
1661036400,0.0692144,0.0698386,0.0689903,0.0698386,41725.23939229
1661038200,0.0696387,0.0697674,0.069079,0.0694284,99428.41899549
1661040000,0.0692748,0.0700117,0.0692748,0.0699284,18725.819814579998
1661041800,0.069454,0.069454,0.0688701,0.068886,50234.84009425
1661043600,0.0691777,0.0692275,0.0688269,0.0688269,11551.42841601
1661045400,0.0691572,0.069695,0.0691572,0.069695,68416.82308775
1661047200,0.069521,0.069545,0.0690325,0.0690939,127283.5856421
1661049000,0.0692121,0.0695201,0.0690824,0.0690824,98356.7412918
1661050800,0.069005,0.069005,0.0686971,0.0688306,22582.60686443
1661052600,0.0685451,0.0685451,0.0684219,0.0684219,38914.51795224
1661054400,0.0684552,0.0685764,0.068431,0.0685764,690433.14815833
1661056200,0.068824,0.068824,0.0685056,0.0685512,17186.03482892
1661058000,0.0684952,0.0684963,0.0684913,0.0684963,42297.082471
1661059800,0.068847,0.068847,0.0687028,0.0687028,2687.8345404499996
1661061600,0.0686053,0.0686053,0.0679725,0.0679725,19040.51840371
1661063400,0.0679414,0.0679414,0.0674719,0.0675418,70827.88287593
1661065200,0.0678824,0.068071,0.067696,0.068071,4314.37141007
1661067000,0.068116,0.0686358,0.068116,0.0686358,88415.88521901
1661068800,0.0686461,0.0699398,0.0686461,0.069454,65537.12882633001
1661070600,0.0692333,0.0692333,0.069,0.0690823,120593.82974854
1661072400,0.0695204,0.0696754,0.0694144,0.0694144,39735.11516513
1661074200,0.0693876,0.069746,0.0693876,0.0697126,40218.3384525
1661076000,0.0696308,0.0696308,0.0695298,0.0695662,84547.90321233
1661077800,0.0695011,0.0695011,0.0693124,0.0693124,49231.25746386
1661079600,0.0694445,0.0695172,0.0693245,0.0693246,377177.02947843
1661081400,0.0695321,0.0696801,0.0695321,0.0696731,75458.974
1661083200,0.0697704,0.0702069,0.0696754,0.0698395,146168.83486877
1661085000,0.0697041,0.0697285,0.0691828,0.0692065,164127.59065133
1661086800,0.0691612,0.0691845,0.0689566,0.0690187,49854.93309795
1661088600,0.069051,0.0691281,0.0690229,0.0691165,153302.49032406
1661090400,0.0690001,0.0691242,0.0686631,0.069049,464627.7845306
1661092200,0.0689604,0.0691839,0.0689604,0.0690226,104893.68716165
1661094000,0.0690636,0.0693721,0.0690636,0.069339,145268.89462833
1661095800,0.0692126,0.0694069,0.0691993,0.0692443,246403.52021976002
1661097600,0.0692144,0.0694363,0.0688281,0.0688281,553747.8415008499
1661099400,0.0690673,0.0696251,0.0690658,0.0694056,86663.45207729
1661101200,0.0695903,0.0696754,0.0695333,0.0695871,32836.08145439
1661103000,0.0695905,0.0695905,0.0691193,0.0691976,116352.25192609
1661104800,0.0690394,0.0692176,0.0690304,0.0690304,232423.39659134
1661106600,0.0690043,0.0693651,0.0690009,0.0693263,33771.4002698
1661108400,0.0693,0.0694736,0.0692297,0.0694135,47111.10910019
1661110200,0.0695,0.0696321,0.0693029,0.0694144,232760.63295777998
1661112000,0.0694797,0.0695811,0.0693548,0.0693842,182343.17900403
1661113800,0.0693842,0.0705207,0.0693183,0.0697119,359486.59006728
1661115600,0.0700599,0.0707104,0.0699399,0.0706534,461394.48466035
1661117400,0.0707427,0.0707427,0.070015,0.0701439,666228.43464904
1661119200,0.0700476,0.0700476,0.0682834,0.0691764,678429.96540219
1661121000,0.069249,0.0697974,0.069249,0.0695607,30158.75575045
1661122800,0.0694854,0.0698932,0.0694289,0.0694289,86334.38996840999
1661124600,0.0694983,0.0696053,0.0692508,0.0692792,20540.416873269998
1661126400,0.0693432,0.0693432,0.0687092,0.069126,294420.63137633
1661128200,0.0690218,0.06908,0.0689171,0.0689171,4591.309688120001
1661130000,0.0689519,0.0689568,0.0685232,0.06865,135424.24475898
1661131800,0.0687412,0.0687412,0.0684774,0.0686528,41675.21317715
1661133600,0.0687144,0.0687927,0.0686337,0.0686337,10561.0435498
1661135400,0.0685623,0.0689164,0.0685623,0.0687563,1391078.2773609299
1661137200,0.0689024,0.0689726,0.0687583,0.0688254,74345.03400113
1661139000,0.0687857,0.0687857,0.0682718,0.0683162,49402.369928
1661140800,0.0683116,0.0683116,0.0679588,0.0680406,82895.63005159
