Date,open,high,low,close,volume
1664342040,0.059321,0.059321,0.059321,0.059321,0.0
1664342100,0.0592771,0.0592781,0.0592372,0.0592372,53913.78048269
1664342160,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342220,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342280,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342340,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342400,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342460,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342520,0.0592372,0.0592372,0.0592372,0.0592372,0.0
1664342580,0.0593251,0.0593251,0.0593251,0.0593251,1088.689
1664342640,0.0593463,0.0593463,0.0593463,0.0593463,807.33760993
1664342700,0.0593463,0.0593463,0.0593463,0.0593463,0.0
1664342760,0.0593463,0.0593463,0.0593463,0.0593463,0.0
1664342820,0.0593839,0.0593839,0.0593839,0.0593839,412.56
1664342880,0.0594103,0.0594103,0.0594103,0.0594103,3000.0
1664342940,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343000,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343060,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343120,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343180,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343240,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343300,0.0594103,0.0594103,0.0594103,0.0594103,0.0
1664343360,0.0594034,0.0594034,0.0594023,0.0594023,54513.846000000005
1664343420,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343480,0.0594023,0.0594023,0.0594023,0.0594023,53855.5329818
1664343540,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343600,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343660,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343720,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343780,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343840,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343900,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664343960,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664344020,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664344080,0.0594023,0.0594023,0.0594023,0.0594023,0.0
1664344140,0.0594304,0.0594304,0.0594304,0.0594304,420.66013353
1664344200,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344260,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344320,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344380,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344440,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344500,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344560,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344620,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344680,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344740,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344800,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344860,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344920,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664344980,0.0594304,0.0594304,0.0594304,0.0594304,0.0
1664345040,0.0595316,0.0595316,0.0595316,0.0595316,108806.78191893
1664345100,0.0595316,0.0595316,0.059499,0.059499,309680.84208107
1664345160,0.059499,0.059499,0.059499,0.059499,0.0
1664345220,0.059499,0.059499,0.059499,0.059499,0.0
1664345280,0.059499,0.059499,0.059499,0.059499,0.0
1664345340,0.0594393,0.0594393,0.0594393,0.0594393,16.9
1664345400,0.0594393,0.0594393,0.0594393,0.0594393,0.0
1664345460,0.0594393,0.0594393,0.0594393,0.0594393,0.0
1664345520,0.0594393,0.0594393,0.0594393,0.0594393,0.0
1664345580,0.0594386,0.059453,0.0594386,0.059453,70957.493
1664345640,0.059453,0.059453,0.059453,0.059453,0.0
1664345700,0.059453,0.059453,0.059453,0.059453,0.0
1664345760,0.0594382,0.0594382,0.0594382,0.0594382,24931.011
1664345820,0.0594382,0.0594382,0.0594382,0.0594382,0.0
1664345880,0.0593822,0.0593822,0.0593801,0.0593801,44587.876000000004
1664345940,0.0593801,0.0593801,0.0593801,0.0593801,0.0
1664346000,0.0593801,0.0593801,0.0593801,0.0593801,0.0
1664346060,0.0593801,0.0593801,0.0593801,0.0593801,0.0
1664346120,0.0594121,0.0594121,0.0593794,0.0593824,29129.025
1664346180,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346240,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346300,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346360,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346420,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346480,0.0593824,0.0593824,0.0593824,0.0593824,0.0
1664346540,0.0595101,0.0595101,0.0595072,0.0595072,57246.530999990006
1664346600,0.0595072,0.0595072,0.0595072,0.0595072,0.0
1664346660,0.0595072,0.0595072,0.0595072,0.0595072,0.0
1664346720,0.0595072,0.0595072,0.0595072,0.0595072,0.0
1664346780,0.0594269,0.0594269,0.0594269,0.0594269,2248.9964
1664346840,0.0594274,0.0594274,0.0594274,0.0594274,88.54
1664346900,0.0594269,0.0594269,0.0594269,0.0594269,38232.75959999
1664346960,0.0594269,0.0594269,0.0594269,0.0594269,0.0
1664347020,0.0594269,0.0594269,0.0594269,0.0594269,0.0
1664347080,0.0594269,0.0594269,0.0594269,0.0594269,0.0
1664347140,0.0593938,0.0593938,0.0593938,0.0593938,166.52
1664347200,0.0593938,0.0593938,0.0593938,0.0593938,0.0
1664347260,0.0593938,0.0593938,0.0593938,0.0593938,0.0
1664347320,0.0593938,0.0593938,0.0593938,0.0593938,0.0
1664347380,0.0593938,0.0593938,0.0593938,0.0593938,0.0
1664347440,0.0593938,0.0593938,0.0593938,0.0593938,0.0
1664347500,0.0594,0.0594,0.0593999,0.0593999,76928.35399999999
1664347560,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347620,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347680,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347740,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347800,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347860,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347920,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664347980,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664348040,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664348100,0.0593999,0.0593999,0.0593999,0.0593999,0.0
1664348160,0.0593682,0.0593682,0.0593652,0.0593652,112827.80855558
1664348220,0.0592539,0.0592539,0.0592539,0.0592539,141.75
1664348280,0.0592539,0.0592539,0.0592539,0.0592539,0.0
1664348340,0.0592742,0.0592742,0.0592742,0.0592742,60.8481
1664348400,0.0592742,0.0592742,0.0592742,0.0592742,0.0
1664348460,0.0592742,0.0592742,0.0592742,0.0592742,0.0
1664348520,0.0592742,0.0592742,0.0592742,0.0592742,0.0
1664348580,0.0593499,0.0593499,0.0593499,0.0593499,901.76217168
1664348640,0.0593499,0.0593499,0.0593499,0.0593499,0.0
1664348700,0.0593499,0.0593499,0.0593499,0.0593499,0.0
1664348760,0.0592734,0.0592734,0.0592685,0.0592685,82754.537
1664348820,0.0591959,0.0591959,0.0591438,0.0591438,80652.23402692
1664348880,0.0591438,0.0591438,0.0591438,0.0591438,0.0
1664348940,0.0591423,0.0591423,0.0591423,0.0591423,10794.34
1664349000,0.0591423,0.0591423,0.0591423,0.0591423,0.0
1664349060,0.0591423,0.0591423,0.0591423,0.0591423,0.0
1664349120,0.0591378,0.0591407,0.0590772,0.0590772,25613.436
1664349180,0.0590772,0.0590772,0.0590772,0.0590772,0.0
1664349240,0.0590818,0.0590818,0.0590818,0.0590818,1751.79
1664349300,0.0591171,0.0591561,0.0591171,0.0591561,950.32375955
1664349360,0.0591561,0.0591561,0.0591561,0.0591561,0.0
1664349420,0.0591561,0.0591561,0.0591561,0.0591561,0.0
1664349480,0.0593358,0.0593358,0.0593358,0.0593358,53551.882
1664349540,0.0593358,0.0593358,0.0593358,0.0593358,0.0
1664349600,0.0593358,0.0593358,0.0593358,0.0593358,0.0
1664349660,0.0593034,0.0593034,0.0593034,0.0593034,26.79
1664349720,0.0593034,0.0593034,0.0593034,0.0593034,0.0
1664349780,0.0593034,0.0593034,0.0593034,0.0593034,0.0
1664349840,0.0593331,0.0593331,0.0593331,0.0593331,21370.95599999
1664349900,0.0593331,0.0593331,0.0593331,0.0593331,0.0
1664349960,0.0593331,0.0593331,0.0593331,0.0593331,0.0
1664350020,0.0593331,0.0593331,0.0593331,0.0593331,0.0
1664350080,0.0593331,0.0593331,0.0593331,0.0593331,0.0
1664350140,0.0593331,0.0593331,0.0593331,0.0593331,0.0
1664350200,0.0593569,0.0593808,0.0593569,0.0593808,140000.0
1664350260,0.0593808,0.0593808,0.0593808,0.0593808,0.0
1664350320,0.0593806,0.0593806,0.0593806,0.0593806,100.0
1664350380,0.0594443,0.0594595,0.0594443,0.0594595,11030.0
1664350440,0.0594894,0.0595017,0.0594894,0.0595017,13090.544213680001
1664350500,0.0594899,0.0594899,0.0594899,0.0594899,4581.10875777
1664350560,0.0594899,0.0594899,0.0594899,0.0594899,0.0
1664350620,0.0594899,0.0594899,0.0594899,0.0594899,0.0
1664350680,0.0594899,0.0594899,0.0594899,0.0594899,0.0
1664350740,0.0594899,0.0594899,0.0594899,0.0594899,0.0
1664350800,0.0594899,0.0594899,0.0594899,0.0594899,0.0
1664350860,0.0595114,0.0595273,0.0595114,0.0595273,2969.79758346
1664350920,0.0595273,0.0595273,0.0595273,0.0595273,0.0
1664350980,0.0595273,0.0595273,0.0595273,0.0595273,0.0
1664351040,0.0595273,0.0595273,0.0595273,0.0595273,0.0
1664351100,0.059504,0.059504,0.059504,0.059504,3612.44
1664351160,0.059504,0.059504,0.059504,0.059504,0.0
1664351220,0.0595317,0.0596011,0.0595317,0.0596011,2642.21219335
1664351280,0.059585,0.059585,0.0595849,0.0595849,155834.816
1664351340,0.0595565,0.0595565,0.0595565,0.0595565,968.99582749
1664351400,0.0595565,0.0595565,0.0595565,0.0595565,0.0
1664351460,0.0595245,0.0595245,0.0595012,0.0595012,450.78
1664351520,0.0595012,0.0595012,0.0595012,0.0595012,0.0
1664351580,0.0595261,0.0595261,0.0595261,0.0595261,59.94
1664351640,0.0595261,0.0595261,0.0595261,0.0595261,0.0
1664351700,0.0595261,0.0595261,0.0595261,0.0595261,0.0
1664351760,0.0595261,0.0595261,0.0595261,0.0595261,0.0
1664351820,0.0595473,0.0595473,0.0595341,0.0595341,11000.0
1664351880,0.0595341,0.0595341,0.0595341,0.0595341,0.0
1664351940,0.0595341,0.0595341,0.0595341,0.0595341,0.0
1664352000,0.0595665,0.0595665,0.0595635,0.0595635,67200.288
1664352060,0.0595635,0.0595635,0.0595635,0.0595635,0.0
1664352120,0.0595635,0.0595635,0.0595635,0.0595635,0.0
1664352180,0.0595559,0.0595569,0.0595559,0.0595569,4500.0
1664352240,0.0595569,0.0595569,0.0595569,0.0595569,0.0
1664352300,0.0595569,0.0595569,0.0595569,0.0595569,0.0
1664352360,0.0595492,0.0595492,0.0595492,0.0595492,2319.5512
1664352420,0.0595492,0.0595492,0.0595492,0.0595492,0.0
1664352480,0.0595492,0.0595492,0.0595492,0.0595492,0.0
1664352540,0.059498,0.059498,0.0594902,0.0594902,61631.568600000006
1664352600,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352660,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352720,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352780,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352840,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352900,0.0594902,0.0594902,0.0594902,0.0594902,0.0
1664352960,0.0594864,0.059493,0.0594864,0.059493,71.59
1664353020,0.059493,0.059493,0.059493,0.059493,0.0
1664353080,0.0594621,0.0594688,0.0594621,0.0594688,38789.828
1664353140,0.0594517,0.0594517,0.0594217,0.0594217,27691.48875777
1664353200,0.0594217,0.0594217,0.0594217,0.0594217,0.0
1664353260,0.0595442,0.0595442,0.0595442,0.0595442,15290.821424490001
1664353320,0.0595684,0.0595684,0.0595684,0.0595684,425.0609
1664353380,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353440,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353500,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353560,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353620,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353680,0.0595684,0.0595684,0.0595684,0.0595684,0.0
1664353740,0.0595274,0.0595274,0.0595274,0.0595274,1502.33
1664353800,0.0595274,0.0595274,0.0595274,0.0595274,0.0
1664353860,0.0595274,0.0595274,0.0595274,0.0595274,0.0
1664353920,0.0594908,0.0594908,0.0594908,0.0594908,87.97654
1664353980,0.0594908,0.0594908,0.0594908,0.0594908,0.0
1664354040,0.0594962,0.0594962,0.0594962,0.0594962,676.02346
1664354100,0.0594962,0.0594962,0.0594962,0.0594962,0.0
1664354160,0.0595269,0.0595269,0.0595269,0.0595269,373.14
1664354220,0.0594963,0.0594963,0.0594963,0.0594963,839.95638946
1664354280,0.0595021,0.0595021,0.0595021,0.0595021,11000.0
1664354340,0.0595035,0.0595035,0.0595035,0.0595035,70270.321
1664354400,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354460,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354520,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354580,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354640,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354700,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354760,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354820,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354880,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664354940,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355000,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355060,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355120,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355180,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355240,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355300,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355360,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355420,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355480,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355540,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355600,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355660,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355720,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355780,0.0595035,0.0595035,0.0595035,0.0595035,0.0
1664355840,0.0596096,0.0596096,0.0595985,0.0595985,1255.65
1664355900,0.0595894,0.0595894,0.0595862,0.0595862,92283.16
